"aid","id","currency_id","to_cny","to_usd","year","month","create_on","create_by","update_on","update_by","batch_id","remark"
"1","1483259164875550720","1483259040090812416","0.8587","0.129036621","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"2","1483259164875550721","1483259040090812417","0.8773","0.131831638","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"3","1483259164875550722","1483259040090812418","0.2323","0.034907659","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"4","1483259164875550723","1483259040090812419","7.8968","1.186650037","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"5","1483259164875550724","1483259040090812420","6.6547","1","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"6","1483259164875550725","1483259040090812421","8.7436","1.313898448","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"7","1483259164875550726","1483259040090812422","4.7275","0.710400168","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"8","1483259164875550727","1483259040090812423","0.0059","0.000886591","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"9","1483259164875550728","1483259040090812424","0.0636","0.009557155","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"10","1483259164875550729","1483259040090812425","0.9993","0.150164545","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"11","1483259164875550730","1483259040090812426","5.0515","0.759087562","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"12","1483259164875550731","1483259040090812427","0.0869","0.01305844","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"13","1483259164875550732","1483259040090812428","0.2132","0.032037507","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"14","1483259164875550733","1483259040090812429","0.1371","0.020601981","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"15","1483259164875550734","1483259040090812430","0.0635","0.009542128","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"16","1483259164875550735","1483259040090812431","0.1179","0.017716802","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"17","1483259164875550736","1483259040090812432","3.9284","0.590319624","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"18","1483259164875550737","1483259040090812433","1.8284","0.274753182","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"19","1483259164875550738","1483259040090812434","3.9288","0.590379732","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"20","1483259164875550739","1483259040090812435","4.1455","0.622943183","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"21","1483259164875550740","1483259040090812436","0.0152","0.0022841","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"22","1483259164875550741","1483259040090812437","7.0324","1.056756879","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"23","1483259164875550742","1483259040090812438","18.7029","2.810479811","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"24","1483259164875550743","1483259040090812439","3.5161","0.528363412","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"25","1483259164875550744","1483259040090812440","0.0003","0.0000451","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"26","1483259164875550745","1483259040090812441","3.4937","0.52499737","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"27","1483259164875550746","1483259040090812442","7.0324","1.056756879","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"28","1483259164875550747","1483259040090812443","0.0979","0.014711407","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"29","1483259164875550748","1483259040090812444","1.0184","0.153034697","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"30","1483259164875550749","1483259040090812445","0.647","0.097224518","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"31","1483259164875550750","1483259040090812446","1.6756","0.251791967","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"32","1483259164875550751","1483259040090812447","3.9811","0.598238839","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"33","1483259164875550752","1483259040090812448","0.0037","0.000555998","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"34","1483259164875550753","1483259040090812449","0.083","0.012472388","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"35","1483259164875550754","1483259040090812450","5.1634","0.775902745","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"36","1483259164875550755","1483259040090812451","0.0706","0.010609043","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"37","1483259164875550756","1483259040090812452","0.0021","0.000315566","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"38","1483259164875550757","1483259040090812453","0.0122","0.001833291","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"39","1483259164875550758","1483259040090812454","0.2653","0.03986656","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"40","1483259164875550759","1483259040090812455","0.3029","0.045516702","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"41","1483259164875550760","1483259040090812456","7.1245","1.070596721","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"42","1483259164875550761","1483259040090812458","0.0099","0.00148767","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"43","1483259164875550762","1483259040090812459","0.0592","0.008895968","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"44","1483259164875550763","1483259040090812460","1.0472","0.157362466","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"45","1483259164875550764","1483259040090812461","0.1333","0.020030956","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"46","1483259164875550765","1483259040090812462","0.0396","0.005950681","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"47","1483259164875550766","1483259040090812463","0.4368","0.06563782","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"48","1483259164875550767","1483259040090812464","0.2364","0.035523765","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"49","1483259164875550768","1483259040090812465","0.0003","0.0000451","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"50","1483259164875550769","1483259040090812466","0.4688","0.070446451","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"51","1483259164875550770","1483259040090812467","9.0753","1.363742919","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"52","1483259164875550771","1483259040090812468","3.1954","0.480171909","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"53","1483259164875550772","1483259040090812469","0.1371","0.020601981","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"54","1483259164875550773","1483259040090812470","0.0337","0.00506409","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"55","1483259164875550774","1483259040090812471","1.269","0.190692293","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"56","1483259164875550775","1483259040090812472","0.0007","0.000105189","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"57","1483259164875550776","1483259040090812473","0.9139","0.13733151","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"58","1483259164875550777","1483259040090812474","9.0749","1.363682811","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"59","1483259164875550778","1483259040090812475","0.0724","0.010879529","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"60","1483259164875550779","1483259040090812476","0.2859","0.042962117","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"61","1483259164875550780","1483259040090812477","1.053","0.15823403","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"62","1483259164875550781","1483259040090812478","0.0236","0.003546366","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"63","1483259164875550782","1483259040090812479","0.0569","0.008550348","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"64","1483259164875550783","1483259040090812480","0.0978","0.01469638","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"65","1483259164875550784","1483259040090812481","0.0005","0.0000751","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"66","1483259164875550785","1483259040090812482","0.0002","0.0000301","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"67","1483259164875550786","1483259040090812483","0.006","0.000901618","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"68","1483259164875550787","1483259040090812484","2.0256","0.304386374","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"69","1483259164875550788","1483259040090812485","0.0523","0.007859107","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"70","1483259164875550789","1483259040090812486","10.0287","1.507010083","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"71","1483259164875550790","1483259040090812487","0.0078","0.001172104","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"72","1483259164875550791","1483259040090812488","0.0182","0.002734909","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"73","1483259164875550792","1483259040090812489","0.0018","0.000270486","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"74","1483259164875550793","1483259040090812490","8.5751","1.288577998","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"75","1483259164875550794","1483259040090812491","0.0158","0.002374262","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"76","1483259164875550795","1483259040090812492","0.0685","0.010293477","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"77","1483259164875550796","1483259040090812493","22.7016","3.411363397","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"78","1483259164875550797","1483259040090812494","0.0008","0.000120216","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"79","1483259164875550798","1483259040090812495","10.6496","1.600312561","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"80","1483259164875550799","1483259040090812496","0.0046","0.000691241","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"81","1483259164875550800","1483259040090812497","0.4677","0.070281155","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"82","1483259164875550801","1483259040090812498","0.0556","0.008354997","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"83","1483259164875550802","1483259040090812499","4.8403","0.727350594","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"84","1483259164875550803","1483259040090812500","2.1678","0.32575473","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"85","1483259164875550804","1483259040090812501","0.0386","0.005800412","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"86","1483259164875550805","1483259040090812502","0.1253","0.018828798","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"87","1483259164875550806","1483259040090812503","0.0092","0.001382482","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"88","1483259164875550807","1483259040090812504","1.6461","0.247359009","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"89","1483259164875550808","1483259040090812505","0.4244","0.063774475","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"90","1483259164875550809","1483259040090812506","0.0188","0.002825071","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"91","1483259164875550810","1483259040090812507","0.1935","0.029077194","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"92","1483259164875550811","1483259040090812508","0.3398","0.051061656","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"93","1483259164875550812","1483259040090812509","0.3812","0.057282823","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"94","1483259164875550813","1483259040090812510","0.0027","0.000405728","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"95","1483259164875550814","1483259040090812511","0.7365","0.110673659","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"96","1483259164875550815","1483259040090812512","0.0047","0.000706268","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"97","1483259164875550816","1483259040090812513","0.0021","0.000315566","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"98","1483259164875550817","1483259040090812514","0.4684","0.070386343","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"99","1483259164875550818","1483259040090812515","0.0627","0.009421912","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"100","1483259164875550819","1483259040090812516","0.2164","0.03251837","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"101","1483259164875550820","1483259040090812517","0.0187","0.002810044","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"102","1483259164875550821","1483259040090812518","0.7807","0.117315581","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"103","1483259164875550822","1483259040090812519","4.4963","0.675657806","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"104","1483259164875550823","1483259040090812520","18.5052","2.780771485","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"105","1483259164875550824","1483259040090812521","0.0629","0.009451966","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"106","1483259164875550825","1483259040090812522","6.6094","0.993192781","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"107","1483259164875550826","1483259040090812523","2.0602","0.309585706","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"108","1483259164875550827","1483259040090812524","0.0012","0.000180324","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"109","1483259164875550828","1483259040090812525","1.8073","0.271582491","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"110","1483259164875550829","1483259040090812526","2.0362","0.305979233","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"111","1483259164875550830","1483259040090812527","1.9573","0.294122951","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"112","1483259164875550831","1483259040090812528","1.7067","0.256465355","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"113","1483259164875550832","1483259040090812529","0.0079","0.001187131","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"114","1483259164875550833","1483259040090812530","0.7197","0.108149128","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"115","1483259164875550834","1483259040090812531","0.7552","0.113483703","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"116","1483259164875550835","1483259040090812532","0.0003","0.0000451","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"117","1483259164875550836","1483259040090812533","1.8715","0.281229808","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"118","1483259164875550837","1483259040090812534","0.4954","0.074443626","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"119","1483259164875550838","1483259040090812535","0.0009","0.000135243","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"120","1483259164875550839","1483259040090812536","0.0305","0.004583227","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"121","1483259164875550840","1483259040090812537","0.8462","0.127158249","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"122","1483259164875550841","1483259040090812538","0.0119","0.00178821","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"123","1483259164875550842","1483259040090812539","8.7873","1.320465235","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"124","1483259164875550843","1483259040090812540","0.9923","0.149112657","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"125","1483259164875550844","1483259040090812541","0.4682","0.07035629","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"126","1483259164875550845","1483259040090812542","5.1496","0.773829023","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"127","1483259164875550846","1483259040090812543","0.0161","0.002419343","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"128","1483259164875550847","1483259040090812544","1.219","0.183178806","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"129","1483259164875550848","1483259040090812545","0.0031","0.000465836","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"130","1483259164875550849","1483259040090812546","2.8662","0.430703112","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"131","1483259164875550850","1483259040090812547","0.9832","0.147745203","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"132","1483259164875550851","1483259040090812548","2.6261","0.394623349","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"133","1483259164875550852","1483259040090812549","0.7507","0.112807489","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"134","1483259164875550853","1483259040090812550","0.246","0.036966355","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"135","1483259164875550854","1483259040090812551","0.2267","0.034066149","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"136","1483259164875550855","1483259040090812552","0.0019","0.000285512","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"137","1483259164875550856","1483259040090812553","0.0615","0.009241589","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"138","1483259164875550857","1483259040090812554","0.6615","0.099403429","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"139","1483259164875550858","1483259040090812555","0.0003","0.0000451","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"140","1483259164875550859","1483259040090812556","2.5786","0.387485537","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"141","1483259164875550860","1483259040090812557","0.0117","0.001758156","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"142","1483259164875550861","1483259040090812558","0.0117","0.001758156","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"143","1483259164875550862","1483259040090812559","2.4474","0.367770147","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"144","1483259164875550863","1483259040090812560","0.0643","0.009662344","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"145","1483259164875550864","1483259040090812561","0.0265","0.003982148","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"146","1483259164875550865","1483259040090812563","0.4697","0.070581694","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"147","1483259164875550866","1483259040090812564","0.5022","0.075465461","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
"148","1483259164875550867","1483259040090812565","1","0.150269734","2022","1","18/1/2022 10:05:43","zhangjin","18/1/2022 10:05:43","zhangjin","1483259060206694400","更正cny"
